runname,station_file,cost_file,analysis_date_utc,runyear,mode,status,batch_id
"DU_Mar16","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_DU_Mar16.nc","/Users/akbaskind/Desktop/COST_FILES/DU_Mar16.nc","2026-09-18T14:43:03Z","2005","production","success","20260918T143917Z"
"DU","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_DU.nc","/Users/akbaskind/Desktop/COST_FILES/DU.nc","2026-09-18T14:44:43Z","2005","production","success","20260918T143917Z"
"A17","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_A17.nc","/Users/akbaskind/Desktop/COST_FILES/A17.nc","2026-09-18T14:46:03Z","2005","production","success","20260918T143917Z"
"C11","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_C11.nc","/Users/akbaskind/Desktop/COST_FILES/C11.nc","2026-09-18T14:47:26Z","2005","production","success","20260918T143917Z"
"A16","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_A16.nc","/Users/akbaskind/Desktop/COST_FILES/A16.nc","2026-09-18T14:48:46Z","2005","production","success","20260918T143917Z"
"C10","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_C10.nc","/Users/akbaskind/Desktop/COST_FILES/C10.nc","2026-09-18T14:50:06Z","2005","production","success","20260918T143917Z"
"A12","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_A12.nc","/Users/akbaskind/Desktop/COST_FILES/A12.nc","2026-09-18T14:52:02Z","2005","production","success","20260918T143917Z"
"2005_CTRL","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_2005_CTRL.nc","/Users/akbaskind/Desktop/COST_FILES/2005_CTRL.nc","2026-09-18T14:53:48Z","2005","production","success","20260918T143917Z"
"D10","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_D10.nc","/Users/akbaskind/Desktop/COST_FILES/D10.nc","2026-09-18T14:56:12Z","2005","production","success","20260918T143917Z"
"C5","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_C5_2005.nc","/Users/akbaskind/Desktop/COST_FILES/C5_2005.nc","2026-09-18T14:57:43Z","2005","production","success","20260918T143917Z"
"A1","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_A1.nc","/Users/akbaskind/Desktop/COST_FILES/A1.nc","2026-09-18T14:59:36Z","2005","production","success","20260918T143917Z"
"LHS_5","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_LHS_5.nc","/Users/akbaskind/Desktop/COST_FILES/LHS_5.nc","2026-09-18T15:00:54Z","2005","production","success","20260918T143917Z"
"D14","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_D14.nc","/Users/akbaskind/Desktop/COST_FILES/D14.nc","2026-09-18T15:02:49Z","2005","production","success","20260918T143917Z"
"LHS_7a","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_LHS_7a.nc","/Users/akbaskind/Desktop/COST_FILES/LHS_7a.nc","2026-09-18T15:04:08Z","2005","production","success","20260918T143917Z"
"C1","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_C1.nc","/Users/akbaskind/Desktop/COST_FILES/C1.nc","2026-09-18T15:05:35Z","2005","production","success","20260918T143917Z"
"D4","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_D4.nc","/Users/akbaskind/Desktop/COST_FILES/D4.nc","2026-09-18T15:18:28Z","2005","production","success","20260918T151625Z"
"A5","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_A5.nc","/Users/akbaskind/Desktop/COST_FILES/A5.nc","2026-09-18T15:20:27Z","2005","production","success","20260918T151625Z"
"LHS_1","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_LHS_1.nc","/Users/akbaskind/Desktop/COST_FILES/LHS_1.nc","2026-09-18T15:21:49Z","2005","production","success","20260918T151625Z"
"C13","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_C13_2005.nc","/Users/akbaskind/Desktop/COST_FILES/C13_2005.nc","2026-09-18T15:23:17Z","2005","production","success","20260918T151625Z"
"D15","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_D15.nc","/Users/akbaskind/Desktop/COST_FILES/D15.nc","2026-09-18T15:25:10Z","2005","production","success","20260918T151625Z"
"D5","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_D5.nc","/Users/akbaskind/Desktop/COST_FILES/D5.nc","2026-09-18T15:27:02Z","2005","production","success","20260918T151625Z"
"A4","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_A4.nc","/Users/akbaskind/Desktop/COST_FILES/A4.nc","2026-09-18T15:28:55Z","2005","production","success","20260918T151625Z"
"LHS_12","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_LHS_12.nc","/Users/akbaskind/Desktop/COST_FILES/LHS_12.nc","2026-09-18T15:30:09Z","2005","production","success","20260918T151625Z"
"D11","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_D11.nc","/Users/akbaskind/Desktop/COST_FILES/D11.nc","2026-09-18T15:32:00Z","2005","production","success","20260918T151625Z"
"A18","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_A18.nc","/Users/akbaskind/Desktop/COST_FILES/A18.nc","2026-09-18T15:33:13Z","2005","production","success","20260918T151625Z"
"C4","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_C4.nc","/Users/akbaskind/Desktop/COST_FILES/C4.nc","2026-09-18T15:34:24Z","2005","production","success","20260918T151625Z"
"C5","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_C5_2005.nc","/Users/akbaskind/Desktop/COST_FILES/C5_2005.nc","2026-09-18T15:35:48Z","2005","production","success","20260918T151625Z"
"LHS20","","","2026-09-18T15:35:53Z","2005","production","failed","20260918T151625Z"
"LHS_16","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_LHS_16.nc","/Users/akbaskind/Desktop/COST_FILES/LHS_16.nc","2026-09-18T15:37:06Z","2005","production","success","20260918T151625Z"
"LHS_4","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_LHS_4.nc","/Users/akbaskind/Desktop/COST_FILES/LHS_4.nc","2026-09-18T15:38:23Z","2005","production","success","20260918T151625Z"
"D16","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_D16.nc","/Users/akbaskind/Desktop/COST_FILES/D16.nc","2026-09-18T15:40:16Z","2005","production","success","20260918T151625Z"
"C3","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_C3.nc","/Users/akbaskind/Desktop/COST_FILES/C3.nc","2026-09-18T15:41:34Z","2005","production","success","20260918T151625Z"
"A7","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_A7.nc","/Users/akbaskind/Desktop/COST_FILES/A7.nc","2026-09-18T15:43:20Z","2005","production","success","20260918T151625Z"
"D6","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_D6.nc","/Users/akbaskind/Desktop/COST_FILES/D6.nc","2026-09-18T15:45:21Z","2005","production","success","20260918T151625Z"
"LHS_3","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_LHS_3.nc","/Users/akbaskind/Desktop/COST_FILES/LHS_3.nc","2026-09-18T15:46:44Z","2005","production","success","20260918T151625Z"
"LHS_11","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_LHS_11.nc","/Users/akbaskind/Desktop/COST_FILES/LHS_11.nc","2026-09-18T15:48:10Z","2005","production","success","20260918T151625Z"
"D12","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_D12.nc","/Users/akbaskind/Desktop/COST_FILES/D12.nc","2026-09-18T15:50:10Z","2005","production","success","20260918T151625Z"
"C9","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_C9_2005.nc","/Users/akbaskind/Desktop/COST_FILES/C9_2005.nc","2026-09-18T15:51:44Z","2005","production","success","20260918T151625Z"
"C7","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_C7.nc","/Users/akbaskind/Desktop/COST_FILES/C7.nc","2026-09-18T15:53:06Z","2005","production","success","20260918T151625Z"
"A3","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_A3.nc","/Users/akbaskind/Desktop/COST_FILES/A3.nc","2026-09-18T15:55:05Z","2005","production","success","20260918T151625Z"
"LHS_7","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_LHS_7.nc","/Users/akbaskind/Desktop/COST_FILES/LHS_7.nc","2026-09-18T15:56:28Z","2005","production","success","20260918T151625Z"
"D13","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_D13.nc","/Users/akbaskind/Desktop/COST_FILES/D13.nc","2026-09-18T15:58:26Z","2005","production","success","20260918T151625Z"
"C6","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_C6.nc","/Users/akbaskind/Desktop/COST_FILES/C6.nc","2026-09-18T16:00:08Z","2005","production","success","20260918T151625Z"
"A2","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_A2.nc","/Users/akbaskind/Desktop/COST_FILES/A2.nc","2026-09-18T16:02:04Z","2005","production","success","20260918T151625Z"
"LHS_6","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_LHS_6.nc","/Users/akbaskind/Desktop/COST_FILES/LHS_6.nc","2026-09-18T19:23:53Z","2005","production","success","20260918T192242Z"
"D17","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_D17.nc","/Users/akbaskind/Desktop/COST_FILES/D17.nc","2026-09-18T19:25:41Z","2005","production","success","20260918T192242Z"
"D10-2","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_D10-2.nc","/Users/akbaskind/Desktop/COST_FILES/D10-2.nc","2026-09-18T19:27:27Z","2005","production","success","20260918T192242Z"
"C2","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_C2.nc","/Users/akbaskind/Desktop/COST_FILES/C2.nc","2026-09-18T19:28:57Z","2005","production","success","20260918T192242Z"
"LHS_7b","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_LHS_7b.nc","/Users/akbaskind/Desktop/COST_FILES/LHS_7b.nc","2026-09-18T19:30:26Z","2005","production","success","20260918T192242Z"
"A6","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_A6.nc","/Users/akbaskind/Desktop/COST_FILES/A6.nc","2026-09-18T19:32:25Z","2005","production","success","20260918T192242Z"
"D7","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_D7.nc","/Users/akbaskind/Desktop/COST_FILES/D7.nc","2026-09-18T19:34:21Z","2005","production","success","20260918T192242Z"
"LHS_2","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_LHS_2.nc","/Users/akbaskind/Desktop/COST_FILES/LHS_2.nc","2026-09-18T19:35:41Z","2005","production","success","20260918T192242Z"
"LHS_10","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_LHS_10.nc","/Users/akbaskind/Desktop/COST_FILES/LHS_10.nc","2026-09-18T19:37:04Z","2005","production","success","20260918T192242Z"
"A15","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_A15.nc","/Users/akbaskind/Desktop/COST_FILES/A15.nc","2026-09-18T19:38:22Z","2005","production","success","20260918T192242Z"
"C9","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_C9_2005.nc","/Users/akbaskind/Desktop/COST_FILES/C9_2005.nc","2026-09-18T19:39:53Z","2005","production","success","20260918T192242Z"
"LHS_9","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_LHS_9.nc","/Users/akbaskind/Desktop/COST_FILES/LHS_9.nc","2026-09-18T19:41:09Z","2005","production","success","20260918T192242Z"
"C13","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_C13_2005.nc","/Users/akbaskind/Desktop/COST_FILES/C13_2005.nc","2026-09-18T19:42:29Z","2005","production","success","20260918T192242Z"
"A11","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_A11.nc","/Users/akbaskind/Desktop/COST_FILES/A11.nc","2026-09-18T19:44:34Z","2005","production","success","20260918T192242Z"
"D18","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_D18.nc","/Users/akbaskind/Desktop/COST_FILES/D18.nc","2026-09-18T19:46:35Z","2005","production","success","20260918T192242Z"
"DUMar26","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_DUMar26.nc","/Users/akbaskind/Desktop/COST_FILES/DUMar26.nc","2026-09-18T19:48:19Z","2005","production","success","20260918T192242Z"
"D8","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_D8.nc","/Users/akbaskind/Desktop/COST_FILES/D8.nc","2026-09-18T19:50:19Z","2005","production","success","20260918T192242Z"
"A9","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_A9.nc","/Users/akbaskind/Desktop/COST_FILES/A9.nc","2026-09-18T19:52:17Z","2005","production","success","20260918T192242Z"
"A10","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_A10.nc","/Users/akbaskind/Desktop/COST_FILES/A10.nc","2026-09-18T19:54:18Z","2005","production","success","20260918T192242Z"
"D19","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_D19.nc","/Users/akbaskind/Desktop/COST_FILES/D19.nc","2026-09-18T19:56:19Z","2005","production","success","20260918T192242Z"
"D9","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_D9.nc","/Users/akbaskind/Desktop/COST_FILES/D9.nc","2026-09-18T19:58:17Z","2005","production","success","20260918T192242Z"
"A8","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_A8.nc","/Users/akbaskind/Desktop/COST_FILES/A8.nc","2026-09-18T20:00:11Z","2005","production","success","20260918T192242Z"
"A14","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_A14.nc","/Users/akbaskind/Desktop/COST_FILES/A14.nc","2026-09-18T20:01:30Z","2005","production","success","20260918T192242Z"
"C8","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_C8.nc","/Users/akbaskind/Desktop/COST_FILES/C8.nc","2026-09-18T20:02:50Z","2005","production","success","20260918T192242Z"
"LHS_8","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_LHS_8.nc","/Users/akbaskind/Desktop/COST_FILES/LHS_8.nc","2026-09-18T20:04:12Z","2005","production","success","20260918T192242Z"
"Dave2","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_Dave2_2005.nc","/Users/akbaskind/Desktop/COST_FILES/Dave2_2005.nc","2026-09-18T20:05:58Z","2005","production","success","20260918T192242Z"
"Dave3","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_Dave3_2005.nc","/Users/akbaskind/Desktop/COST_FILES/Dave3_2005.nc","2026-09-18T20:07:53Z","2005","production","success","20260918T192242Z"
"Dave4","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_Dave4_2005.nc","/Users/akbaskind/Desktop/COST_FILES/Dave4_2005.nc","2026-09-18T20:09:39Z","2005","production","success","20260918T192242Z"
"Dave5","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_Dave5_2005.nc","/Users/akbaskind/Desktop/COST_FILES/Dave5_2005.nc","2026-09-18T20:11:20Z","2005","production","success","20260918T192242Z"
"Dave6","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_Dave6_2005.nc","/Users/akbaskind/Desktop/COST_FILES/Dave6_2005.nc","2026-09-18T20:13:03Z","2005","production","success","20260918T192242Z"
"Dave1","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_Dave1_2005.nc","/Users/akbaskind/Desktop/COST_FILES/Dave1_2005.nc","2026-09-18T20:14:39Z","2005","production","success","20260918T192242Z"
"C12","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_C12.nc","/Users/akbaskind/Desktop/COST_FILES/C12.nc","2026-09-18T21:00:40Z","2005","production","success","20260918T205916Z"
"LHS9","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_LHS9_2005.nc","/Users/akbaskind/Desktop/COST_FILES/LHS9_2005.nc","2026-09-18T21:02:26Z","2005","production","success","20260918T205916Z"
"LHS14","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_LHS14_2005.nc","/Users/akbaskind/Desktop/COST_FILES/LHS14_2005.nc","2026-09-18T21:03:57Z","2005","production","success","20260918T205916Z"
"LHS1","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_LHS1_2005.nc","/Users/akbaskind/Desktop/COST_FILES/LHS1_2005.nc","2026-09-18T21:05:20Z","2005","production","success","20260918T205916Z"
"LHS8","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_LHS8_2005.nc","/Users/akbaskind/Desktop/COST_FILES/LHS8_2005.nc","2026-09-18T21:06:50Z","2005","production","success","20260918T205916Z"
"LHS3","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_LHS3_2005.nc","/Users/akbaskind/Desktop/COST_FILES/LHS3_2005.nc","2026-09-18T21:08:13Z","2005","production","success","20260918T205916Z"
"LHS17","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_LHS17_2005.nc","/Users/akbaskind/Desktop/COST_FILES/LHS17_2005.nc","2026-09-18T21:09:33Z","2005","production","success","20260918T205916Z"
"LHS16","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_LHS16_2005.nc","/Users/akbaskind/Desktop/COST_FILES/LHS16_2005.nc","2026-09-18T21:10:57Z","2005","production","success","20260918T205916Z"
"LHS2","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_LHS2_2005.nc","/Users/akbaskind/Desktop/COST_FILES/LHS2_2005.nc","2026-09-18T21:12:17Z","2005","production","success","20260918T205916Z"
"LHS20","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_LHS20_2005.nc","/Users/akbaskind/Desktop/COST_FILES/LHS20_2005.nc","2026-09-18T21:13:33Z","2005","production","success","20260918T205916Z"
"LHS7","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_LHS7_2005.nc","/Users/akbaskind/Desktop/COST_FILES/LHS7_2005.nc","2026-09-18T21:14:59Z","2005","production","success","20260918T205916Z"
"LHS13","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_LHS13_2005.nc","/Users/akbaskind/Desktop/COST_FILES/LHS13_2005.nc","2026-09-18T21:16:16Z","2005","production","success","20260918T205916Z"
"LHS12","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_LHS12_2005.nc","/Users/akbaskind/Desktop/COST_FILES/LHS12_2005.nc","2026-09-18T21:17:42Z","2005","production","success","20260918T205916Z"
"LHS6","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_LHS6_2005.nc","/Users/akbaskind/Desktop/COST_FILES/LHS6_2005.nc","2026-09-18T21:19:06Z","2005","production","success","20260918T205916Z"
"LHS10","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_LHS10_2005.nc","/Users/akbaskind/Desktop/COST_FILES/LHS10_2005.nc","2026-09-18T21:20:28Z","2005","production","success","20260918T205916Z"
"LHS19","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_LHS19_2005.nc","/Users/akbaskind/Desktop/COST_FILES/LHS19_2005.nc","2026-09-18T21:21:59Z","2005","production","success","20260918T205916Z"
"LHS4","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_LHS4_2005.nc","/Users/akbaskind/Desktop/COST_FILES/LHS4_2005.nc","2026-09-18T21:23:24Z","2005","production","success","20260918T205916Z"
"LHS5","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_LHS5_2005.nc","/Users/akbaskind/Desktop/COST_FILES/LHS5_2005.nc","2026-09-18T21:24:50Z","2005","production","success","20260918T205916Z"
"LHS18","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_LHS18_2005.nc","/Users/akbaskind/Desktop/COST_FILES/LHS18_2005.nc","2026-09-18T21:26:15Z","2005","production","success","20260918T205916Z"
"LHS11","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_LHS11_2005.nc","/Users/akbaskind/Desktop/COST_FILES/LHS11_2005.nc","2026-09-18T21:28:05Z","2005","production","success","20260918T205916Z"
"LHS14_2005_OLD","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_LHS14_2005_OLD.nc","/Users/akbaskind/Desktop/COST_FILES/LHS14_2005_OLD.nc","2026-09-18T21:30:11Z","2005","production","success","20260918T205916Z"
"LHS16_2005_OLD","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_LHS16_2005_OLD.nc","/Users/akbaskind/Desktop/COST_FILES/LHS16_2005_OLD.nc","2026-09-18T21:32:14Z","2005","production","success","20260918T205916Z"
"LHS15","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_LHS15_2005.nc","/Users/akbaskind/Desktop/COST_FILES/LHS15_2005.nc","2026-09-18T21:34:01Z","2005","production","success","20260918T205916Z"
"LHS17_2005_OLD","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_LHS17_2005_OLD.nc","/Users/akbaskind/Desktop/COST_FILES/LHS17_2005_OLD.nc","2026-09-18T21:35:49Z","2005","production","success","20260918T205916Z"
"LHS18_2005_OLD","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_LHS18_2005_OLD.nc","/Users/akbaskind/Desktop/COST_FILES/LHS18_2005_OLD.nc","2026-09-18T21:37:46Z","2005","production","success","20260918T205916Z"
"LHS19_2005_OLD","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_LHS19_2005_OLD.nc","/Users/akbaskind/Desktop/COST_FILES/LHS19_2005_OLD.nc","2026-09-18T21:39:28Z","2005","production","success","20260918T205916Z"
"LHS20_2005_OLD","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_LHS20_2005_OLD.nc","/Users/akbaskind/Desktop/COST_FILES/LHS20_2005_OLD.nc","2026-09-18T21:41:19Z","2005","production","success","20260918T205916Z"
"OPTUNA_41","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_OPTUNA_41_2005.nc","/Users/akbaskind/Desktop/COST_FILES/OPTUNA_41_2005.nc","2026-09-18T23:30:18Z","2005","production","success","20260918T232901Z"
"OPTUNA_42","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_OPTUNA_42_2005.nc","/Users/akbaskind/Desktop/COST_FILES/OPTUNA_42_2005.nc","2026-09-18T23:31:28Z","2005","production","success","20260918T232901Z"
"OPTUNA_43","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_OPTUNA_43_2005.nc","/Users/akbaskind/Desktop/COST_FILES/OPTUNA_43_2005.nc","2026-09-18T23:32:48Z","2005","production","success","20260918T232901Z"
"OPTUNA_64","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_OPTUNA_64_2005.nc","/Users/akbaskind/Desktop/COST_FILES/OPTUNA_64_2005.nc","2026-09-18T23:34:07Z","2005","production","success","20260918T232901Z"
"OPTUNA_65","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_OPTUNA_65_2005.nc","/Users/akbaskind/Desktop/COST_FILES/OPTUNA_65_2005.nc","2026-09-18T23:35:23Z","2005","production","success","20260918T232901Z"
"OPTUNA_66","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_OPTUNA_66_2005.nc","/Users/akbaskind/Desktop/COST_FILES/OPTUNA_66_2005.nc","2026-09-18T23:36:43Z","2005","production","success","20260918T232901Z"
"OPTUNA_67","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_OPTUNA_67_2005.nc","/Users/akbaskind/Desktop/COST_FILES/OPTUNA_67_2005.nc","2026-09-18T23:38:02Z","2005","production","success","20260918T232901Z"
"OPTUNA_74","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_OPTUNA_74_2005.nc","/Users/akbaskind/Desktop/COST_FILES/OPTUNA_74_2005.nc","2026-09-18T23:39:25Z","2005","production","success","20260918T232901Z"
"OPTUNA_75","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_OPTUNA_75_2005.nc","/Users/akbaskind/Desktop/COST_FILES/OPTUNA_75_2005.nc","2026-09-18T23:40:48Z","2005","production","success","20260918T232901Z"
"OPTUNA_76","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_OPTUNA_76_2005.nc","/Users/akbaskind/Desktop/COST_FILES/OPTUNA_76_2005.nc","2026-09-20T13:07:14Z","2005","production","success","20260920T130557Z"
"OPTUNA_77","/Users/akbaskind/Desktop/COST_FILES/ocean_sta_OPTUNA_77_2005.nc","/Users/akbaskind/Desktop/COST_FILES/OPTUNA_77_2005.nc","2026-09-20T13:08:28Z","2005","production","success","20260920T130557Z"
