parameter,parameter_type,decision,bottom_ph_relevance,holistic_relevance,confidence_in_current_value,scale,allowed_choices,proposed_low,proposed_high,fixed_value,parent_option,scientific_rationale,future_question,notes
btheta_denit,float,exclude,unknown,unknown,unknown,linear,,,,,,,Decide whether this parameter is scientifically relevant,
bpsi_n,float,exclude,unknown,unknown,unknown,linear,,,,,,,Decide whether this parameter is scientifically relevant,
bdo_c,float,reserve,unknown,unknown,unknown,linear,,,,,,,Decide whether this parameter is scientifically relevant,
bao2,float,fixed,unknown,unknown,unknown,linear,,,,2,,For consistency with water column denitrification stoichiometry,Decide whether this parameter is scientifically relevant,
bpi,float,exclude,unknown,unknown,unknown,linear,,,,,,,Decide whether this parameter is scientifically relevant,
bpsi_p,float,exclude,unknown,unknown,unknown,linear,,,,,,,Decide whether this parameter is scientifically relevant,
bfc_nspc0,float,exclude,unknown,unknown,unknown,linear,,,,,,,Decide whether this parameter is scientifically relevant,
bfc_nspc1,float,exclude,unknown,unknown,unknown,linear,,,,,,,Decide whether this parameter is scientifically relevant,
bfc_nspc2,float,exclude,unknown,unknown,unknown,linear,,,,,,,Decide whether this parameter is scientifically relevant,
bfn_nspc0,float,exclude,unknown,unknown,unknown,linear,,,,,,,Decide whether this parameter is scientifically relevant,
bfn_nspc1,float,exclude,unknown,unknown,unknown,linear,,,,,,,Decide whether this parameter is scientifically relevant,
bfn_nspc2,float,exclude,unknown,unknown,unknown,linear,,,,,,,Decide whether this parameter is scientifically relevant,
bfp_nspc0,float,exclude,unknown,unknown,unknown,linear,,,,,,,Decide whether this parameter is scientifically relevant,
bfp_nspc1,float,exclude,unknown,unknown,unknown,linear,,,,,,,Decide whether this parameter is scientifically relevant,
bfp_nspc2,float,exclude,unknown,unknown,unknown,linear,,,,,,,Decide whether this parameter is scientifically relevant,
bfs_nspc0,float,exclude,unknown,unknown,unknown,linear,,,,,,,Decide whether this parameter is scientifically relevant,
bfs_nspc1,float,exclude,unknown,unknown,unknown,linear,,,,,,,Decide whether this parameter is scientifically relevant,
bfs_nspc2,float,exclude,unknown,unknown,unknown,linear,,,,,,,Decide whether this parameter is scientifically relevant,
nl_tnu2_tracer9,float,fixed,unknown,unknown,unknown,linear,,,,0.5,,Will need to check against physical tuning,Decide whether this parameter is scientifically relevant,Active in reference notebook; not automatically endorsed
tracer9_advection_scheme,categorical,exclude,unknown,unknown,unknown,categorical,Upstream3_Centered4|HSIMT|Akima4|MPDATA,,,,,Will need to check against physical tuning,Is this appropriate to vary in the focused search?,Active in reference notebook; not automatically endorsed
CACO3,boolean,exclude,unknown,unknown,unknown,categorical,False|True,,,,,Compile-time CPP option,Candidate executable and template workflow must support this option,Operationally unavailable for new candidates
cacopf,float,exclude,unknown,unknown,unknown,linear,,,,,CACO3,Conditional CACO3 parameter,Only analyze among CACO3-enabled runs,Not applicable when CACO3 is disabled
cacodr,float,exclude,unknown,unknown,unknown,linear,,,,,CACO3,Conditional CACO3 parameter,Only analyze among CACO3-enabled runs,Not applicable when CACO3 is disabled
omega_thresh,float,exclude,unknown,unknown,unknown,linear,,,,,CACO3,Conditional CACO3 parameter,Only analyze among CACO3-enabled runs,Not applicable when CACO3 is disabled
wsPCa,float,exclude,unknown,unknown,unknown,linear,,,,,CACO3,Conditional CACO3 parameter,Only analyze among CACO3-enabled runs,Not applicable when CACO3 is disabled
bUmaxCa_nspc0,float,exclude,unknown,unknown,unknown,linear,,,,,CACO3,Conditional CACO3 parameter,Only analyze among CACO3-enabled runs,Not applicable when CACO3 is disabled
bUmaxCa_nspc1,float,exclude,unknown,unknown,unknown,linear,,,,,CACO3,Conditional CACO3 parameter,Only analyze among CACO3-enabled runs,Not applicable when CACO3 is disabled
bUmaxCa_nspc2,float,exclude,unknown,unknown,unknown,linear,,,,,CACO3,Conditional CACO3 parameter,Only analyze among CACO3-enabled runs,Not applicable when CACO3 is disabled
